Nomor,Nama,Label,Alamat,Telephone
1,b'Basecamp Relawan RZ KRN',Organisasi Sukarelawan,"Jl. Salendro Timur No.1, RT.01/RW.10, Gumuruh, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",None
2,b'Menwa Kompi B Unisba',Organisasi Sukarelawan,"3JW5+J84, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",None
3,b'Care Group Buktos 1',Organisasi Sukarelawan,"3JC6+W76, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",0812-2337-630
4,b'Mabes Bahar',Organisasi Sukarelawan,"2JRR+CQG, Gg. Pasantren I, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",0896-0446-2207
5,b'Jaringan Wirausaha Rakyat',Organisasi Sukarelawan,"Komplek Cibolerang Blk Blok C 12 No 171 RT 05/04 Margahayu Utara Babakan Ciparay, Kota Bandung, Jawa Barat 40224",0882-2299-8686
6,b'Relawan Siaga Indonesia Itqan',Organisasi Sukarelawan,"Ciganitri Regenci No. 29, Lengkong, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40287",None
7,b'Sekretariat MAPIKSHA',Organisasi Sukarelawan,"Jl. Gatot Subroto No.321b, RW.09, Gumuruh, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",0813-1232-2707
8,b'JMN jawa barat',Organisasi Sukarelawan,"Jl. Jend. Sudirman No.782, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40184",None
9,b'Markas Komando Relawan ASBES',Organisasi Sukarelawan,"Jl. Asbes No.30, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",None
10,b'Relawan Indonesia',Organisasi Sukarelawan,"Jl. Golf Sel. I No.36, Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat 40294",0811-9629-391
11,b'Relawan Lembur',Organisasi Sukarelawan,"2J88+PFG, Kp Jl. Parung Halang, Andir, Kec. Baleendah, Kabupaten Bandung, Jawa Barat 40375",0838-1704-2928
12,b'Posko Chairul Yaqin Hidayat',Organisasi Sukarelawan,"Jl. Soekarno-Hatta No.278, Kopo, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40233",None
13,b'KSR PMI Kota Bandung',Organisasi Sukarelawan,"Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat",None
14,b'Sekretariat BKM Mandalajati',Organisasi Sukarelawan,"Asan, Jl. Cicabe No.52, Jatihandap, Mandalajati, Bandung City, West Java 40195",None
15,b'Markaz Peradaban Relawan Siaga Indonesia Itqan',Organisasi Sukarelawan,"Ciganitri Regency, Lengkong, Bojongsoang, Bandung Regency, West Java 40287",None
16,b'Nett_charity',Organisasi Sukarelawan,"Jl. Parung Halang No.rt 08/01, Andir, Kec. Baleendah, Kabupaten Bandung, Jawa Barat 40375",0821-7305-2371
17,"b'Care Group Kemuliaan, Cihampelas 9'",Organisasi Sukarelawan,"4J43+QHV, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131",0853-9849-8058
18,b'Sekretariat Barmil Jawa barat',Organisasi Sukarelawan,"Buah Batu Regency Ruko A2 No.1 Terusan Buah Batu, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",(022) 87791591
19,b'Seekretarian MPB-KBB',Organisasi Sukarelawan,"5HH4+94M, Jambudipa, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551",None
20,b'Sekretariat DPD HWDI Provinsi Jawa Barat',Organisasi Sukarelawan,"Jl. Turangga No.25, Lkr. Sel., Kec. Lengkong, Kota Bandung, Jawa Barat 40263",0813-1237-9357
21,b'Jaringan Relawan Indonesia',Lembaga Swadaya Masyarakat (LSM),"Gedung Dana Loka, JL. BKR, No. 118, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253",None
22,b'YAYASAN ABADI INDONESIA RAYA',Organisasi Sukarelawan,"Blok Kp. Pojok Girang, Cikahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",0815-7235-3627
23,b'Damas (Daya Mahasiswa Sunda)',Organisasi Sukarelawan,"Jl. Lengkong Besar No.67, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",(022) 4206670
24,b'Philnesandco foundation',Organisasi Sukarelawan,"Jl. Gkpn Pasir Luhur No.A38, Cipacing, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",0878-3775-3907
25,b'SENKOM JAWA BARAT',Organisasi Sukarelawan,"Jl. Talaga Bodas No.94, Lkr. Sel., Kec. Lengkong, Kota Bandung, Jawa Barat 40263",0811-200-526
26,b'PRB IV Bersih-bersih Sungai',Organisasi Sukarelawan,"Jl. Kol. A. Syam Puri Indah No.12, Cikeruh, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",None
27,b'BTM Rancaekek wetan RW 1',Organisasi Sukarelawan,"Babakan harja rw 01, Rancaekek Wetan, Kec. Rancaekek, Kota Bandung, Jawa Barat 40394",None
28,b'Volunteer Fire Rescue KBB',Organisasi Sukarelawan,"Jl. Wangsa Niaga kulon, Cipeundeuy, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",0821-1716-0949
29,b'Qoyyimul Masjid',Organisasi Sukarelawan,"SIB, Nagrak, Kec. Cangkuang, Kota Bandung, Jawa Barat 40238",None
30,b'PRB VI Bersih-Bersih Sungai',Organisasi Sukarelawan,"Jalan Raya Cirebon-Bandung No.267, Hegarmanah, Jatinangor, Hegarmanah, Sumedang, Kabupaten Sumedang, Jawa Barat 45363",None
31,b'PRB III Bersih- bersih Sungai',Organisasi Sukarelawan,"3Q4F+39X, Jl. Cikeruh, Sayang, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",None
32,b'Senopati 12',Organisasi Sukarelawan,"Kp. Pasirjati, RT.02/RW.12, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",0877-9011-2526
33,b'MANGGALA GARUDA PUTIH (Ranting Laksanamekar)',Organisasi Sukarelawan,"4GG4+GJ2, Jl. Tipar Barat, Laksanamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",0878-2353-1600
34,b'Yayasan Wiloka Indonesia',Organisasi Nonprofit,"Ruko Pasar Modern Batununggal Jalan Batununggal Indah Blok RA No.29, Mengger, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40267",(022) 87526876
35,b'Kota Bandung Utara',Organisasi Sukarelawan,"Jl. Grand Hotel No.38, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",None
36,b'PRB I Bersih-Bersih Sungai',Organisasi Sukarelawan,"Jl. Raya Bandung - Garut No.21, Sayang, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 40394",None
37,b'Garda Caah Sukarelawan',Organisasi Sukarelawan,"Jl. Raya Laswi No.2, Majalaya, Kec. Majalaya, Kabupaten Bandung, Jawa Barat 40382",0897-5881-518
38,b'PMPR & PG Mahatva Faperta Unpad',Organisasi Sukarelawan,"Kampus Unpad, Jl. Raya Bandung Sumedang No.KM.21, Hegarmanah, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",0813-2222-8264
39,b'SOSIAL LINGKUNGAN INOVASI MANDIRI',Organisasi Sukarelawan,"kp bojongsirna desa, Tj. Karya, Kec. Samarang, Kabupaten Garut, Jawa Barat 44161",None
40,b'Rekrutmen RELAWAN BERAKSI',Organisasi Sukarelawan,"Jl re Martadinata 017/009 no 87, Kabupaten Purwakarta, Jawa Barat 41111",0898-4714-332
41,b'Mapala Dyaksa Jagat',Organisasi Sukarelawan,"Jalan Angkrek Situ No.19, Kotakaler, Sumedang Utara, Situ, Kec. Sumedang Utara, Kabupaten Sumedang, Jawa Barat 45621",None
