Nomor,Nama,Label,Alamat,Telephone
1,b'Febry house/rsb',Organisasi Sukarelawan,"8689+PM4, Jln tukad banyupoh, Gg. IX Gg. Pandan, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80113",None
2,b'Relawan Indonesia Untuk Kemanusiaan Prov. Bali',Organisasi Sukarelawan,"Jl. Gn. Slamet III No.20, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",0859-6425-4115
3,b'Jejak Literasi Bali',Organisasi Sukarelawan,"Jl. Pulau Saelus I No.18, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80114",None
4,b'MABES BULDOG Korlap WTC',Organisasi Sukarelawan,"86M7+694, Unnamed Road, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",None
5,b'ABDSI Korwil Bali',Organisasi Sukarelawan,"Jl. Palapa Raya No.5, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223",0817-0077-001
6,"b""MABES KUAN SO'E COMUNITTY. ( Belakang RSBM )""",Organisasi Sukarelawan,"Jl. Kutat Lestari No.12 D, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80227",0852-3978-6787
7,b'Komunitas Cinta Kasih Bali',Organisasi Sukarelawan,"Gg. XII No.5, Sumerta, Kec. Denpasar Tim., Kota Denpasar, Bali 80235",0812-3889-8338
8,b'Malu Dong Community (MDC)',Organisasi Sukarelawan,"Jl. Sahadewa No.20, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80232",0813-3871-3534
9,b'Sekretariat UKM KSR - PMI Husada Mandala Unit Poltekkes Denpasar',Organisasi Sukarelawan,"Jl. Raya Sesetan No.337, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223",None
10,b'Posko Relawan Semaya',Organisasi Sukarelawan,"FC82+V5Q, Jl. Kebo Iwa, Semarapura Tengah, Kec. Klungkung, Kabupaten Klungkung, Bali 80711",0811-3895-996
11,b'CBK ( Catur Buana Kanthi ) Dewa arimbawa',Organisasi Sukarelawan,"Jl. Cempaka Putih, Batuaji, Kec. Kerambitan, Kabupaten Tabanan, Bali 82115",None
12,b'Puri Agung Kanibal Bali',Organisasi Sukarelawan,"Jl. Palapa XIV No.11a, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80224",None
13,b'Jaringan Relawan Kemanusiaan',Lembaga Swadaya Masyarakat (LSM),"JL. Bali, Denpasar, 80511, Seminyak, Kuta, Badung Regency, Bali 80361",None
14,b'Yayasan Act Global Indonesia',Organisasi Nonprofit,"Jl. Raya Pemogan, Gang Nusa Indah, Blok A/2, Br. Dukuh Tangkas, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221",0851-0146-1974
15,b'Posko AMAN 2 Periode',Organisasi Sukarelawan,"Jl. Pasung Grigis No.305, Gianyar, Kec. Gianyar, Kabupaten Gianyar, Bali 80515",None
16,b'Pandawa Station Club',Organisasi Sukarelawan,"Jl. Alas Arum No.37, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",None
17,b'Volunteer English School',Organisasi Nonprofit,"G2X7+V78, Angkah, Kec. Selemadeg Bar., Kabupaten Tabanan, Bali 82162",None
18,b'Bank Sampah Bhakti Pertiwi',Organisasi Sukarelawan,"G882+XW5, Br, Jl. Raya Pesalakan, Pejeng Kangin, Kec. Tampaksiring, Kabupaten Gianyar, Bali",None
19,b'Kantor Seketariat Banser Ranting Desa Pengastulanan',Organisasi Sukarelawan,"RW8H+JM4, Jalan Ampel, Suci, Pengastulan, Seririt, Buleleng Regency, Bali 81153",0817-351-680
20,b'Suka Duka Satria Muda Majapahit',Organisasi Sukarelawan,"R399+JC5, Selat, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",None
21,b'Volunteer Programs Bali',Organisasi Sukarelawan,"Jl. A.A. Gede Rai, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",None
22,b'Green Lion - Nusa Penida',Organisasi Sukarelawan,"8FGR+3W8, Jl. Raya Toya Pakeh - Ped, Ped, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",None
23,b'JPKP KARESIDENAN BESUKI',Organisasi Sukarelawan,"Jl. Pule, Krajan, Bagorejo, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471",0822-6436-5866
24,b'Zellde Foundation',Organisasi Sukarelawan,"VJ5H+C47, Sumber Wangi, Pemuteran, Kec. Gerokgak, Kabupaten Buleleng, Bali 81155",0821-3677-5125
25,b'VISECA Foundation',Organisasi Sukarelawan,"Jl. Raya Sembada Asri No.F18, Kekalik Jaya, Kec. Sekarbela, Kota Mataram, Nusa Tenggara Bar. 83115",0812-3030-3252
26,b'Camp Rendang',Organisasi Sukarelawan,"HC3F+VP4, Unnamed Road, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863",None
27,"b""Lombok's charity""",Organisasi Sukarelawan,"Jl. Gili Meno Gg. Garuda No.V, Karang Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83123",None
28,b'Sekretariat Sedekah For Yatim NTB',Organisasi Sukarelawan,"Babakan, Kec. Sandubaya, Kota Mataram, Nusa Tenggara Bar. 83232",None
29,b'KSR PMI Unit UNRAM',Organisasi Sukarelawan,"C38V+459, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83114",None
30,b'Beskem relawan RPM',Organisasi Sukarelawan,"Unnamed Road, karanganyar., RT/RW 003/018, Karanganyar, Tempurejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173",None
31,b'Pengungsi Gunung Agung',Organisasi Sukarelawan,"M5G8+J3H, Angseri, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",None
32,b'Markas PMI KABUPATEN KARANGASEM',Organisasi Sukarelawan,"HJ76+RPW, Karangasem, Kec. Karangasem, Kabupaten Karangasem, Bali 80811",None
33,b'Green Lion Turtle Conservation Nusa Penida',Organisasi Sukarelawan,"Ped, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",None
