Nomor,Nama,Label,Alamat,Telephone
1,b'Nyonya_Sederhana',Organisasi Sukarelawan,"Perum Makota Bumi Indah Blok K14,Kelurahan Malendeng, Sulawesi Utara 95127",None
2,b'Relawan Emergency Sulawesi Tengah',Organisasi Sukarelawan,"Kost SPK Lama Pelita, Jln G.Merapi Luwuk, Mangkio Baru, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94711",None
3,b'ATIHOUSEROOM',Organisasi Sukarelawan,"FRMV+VC9, Mahakeret Tim., Kec. Wenang, Kota Manado, Sulawesi Utara",None
4,b'relawan',Organisasi Sukarelawan,"F83F+CP7, Jl. Hos Cokroaminoto, Kappuna, Kec. Masamba, Kabupaten Luwu Utara, Sulawesi Selatan 92961",None
5,b'Sekretariat PKNS (Persaudaraan Korban NAPZA Sulawesi Utara)',Organisasi Sukarelawan,"Jl. Babe Palar No.31, Tj. Batu, Kec. Wanea, Kota Manado, Sulawesi Utara",0812-4300-064
6,b'Sekretariat MPA SOCIETY FIS UNIMA',Organisasi Sukarelawan,"7V7M+V2F, Koya, Kec. Tondano Sel., Kabupaten Minahasa, Sulawesi Utara",0821-8849-5769
7,b'TKSK KECAMATAN LAGE',Organisasi Sukarelawan,"Jl. Trans Sulawesi, Watuawu, Kec. Lage, Kabupaten Poso, Sulawesi Tengah 94661",None
8,b'SAR Maleo Towuti',Organisasi Sukarelawan,"Jl. Flores Atas No.8, Asuli, Kec. Towuti, Kabupaten Luwu Timur, Sulawesi Selatan 92982",0853-8633-3322
9,b'Studio Radio Komunitas Fokus FM',Organisasi Sukarelawan,"Jl. Sis Al Jufri No.49 Kel, Balantang, Kec. Batui, Kabupaten Banggai, Sulawesi Tengah 94761",None
10,b'BM-OD Kota Manado',Organisasi Sukarelawan,"Jl. Balai Kota No.1, Tikala Ares, Kec. Tikala, Kota Manado, Sulawesi Utara",None
11,b'DPD PPI SULUT',Organisasi Sukarelawan,"C4XJ+G54, Unnamed Road, Wangurer Bar., Kec. Madidir, Kota Bitung, Sulawesi Utara",None
12,b'Posko Partai Solidaritas Indonesia (PSI) Wiau Lapi',Organisasi Sukarelawan,"Jl. Kalangi No.68, Wiau Lapi, Kec. Tareran, Kabupaten Minahasa Selatan, Sulawesi Utara",None
13,b'Palang Merah Indonesia',Organisasi Sukarelawan,"JL. Imam Bonjol, KM. 5, Bunga, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94716",None
14,b'Sekretariat Karang Taruna Lesangi',Organisasi Sukarelawan,"C8XG+WRQ, Bone, Kec. Masamba, Kabupaten Luwu Utara, Sulawesi Selatan 92961",None
15,b'BASE OPS TIM SAR WAHANA MUDA INDONESIA',Organisasi Sukarelawan,"F86H+P53, Jl. Kalapi, Kamiri, Kec. Masamba, Kabupaten Luwu Utara, Sulawesi Selatan 92961",None
16,b'Sekretariat KSR-PMI UPT POLITEKNIK NEGERI MANADO',Organisasi Sukarelawan,"GVCP+5CV, Jl. Raya Politeknik, Buha, Kec. Mapanget, Kota Manado, Sulawesi Utara",None
17,b'Relawan LPM Bukuan',Organisasi Sukarelawan,"Jl. Sirsat No.RT. 02 No.05, Bukuan, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75256",0822-5071-1171
18,b'RELAWAN DAMKAR BAKUNGAN',Organisasi Sukarelawan,"C24V+QPW, Jl. Gerbang Dayaku, Bakungan, Kec. Loa Janan, Kabupaten Kutai Kartanegara, Kalimantan Timur 75391",0823-5137-1925
19,b'Relawan Balakar Dimas Senda',Organisasi Sukarelawan,"G5FC+3H2, Jl. Kenangan I, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",None
