Nomor,Nama,Label,Alamat,Telephone
1,b'Satu aspal indonesia',Organisasi Sukarelawan,"1, Jl. Guntur No.38, RT.8/RW.1, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980",0812-9377-8974
2,b'Indorelawan',Organisasi Nonprofit,"Jl. Panglima Polim V No.60, RT.1/RW.7, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",0811-9777-140
3,b'Harapan jaya',Organisasi Sukarelawan,"9, Jl. Tebet Timur Dalam V No.9 9 5, RT.9/RW.5, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",None
4,b'TAMBAK 325',Organisasi Sukarelawan,"Jl. Nanas III No.11-13, RW.3, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120",None
5,b'DIMENSI',Organisasi Sukarelawan,"Jl. Kramat Lontar Gg. 2 No.3, RT.2/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",None
6,b'Markas Komando TAGANA Indonesia',Organisasi Sukarelawan,"Jl. Salemba Raya No.28, RT.5/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",None
7,b'Pimpinan Pusat Satuan Relawan Indonesia Raya',Organisasi Sukarelawan,"Jl. Bacang III No.9, RT.6/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",None
8,b'Inti Demokrasi Kebangsaan (InDeKs)',Organisasi Sukarelawan,"Jl. Tebet Barat Dalam IV No.6, RT.17/RW.6, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",(021) 22983407
9,b'Idvolunteering',Organisasi Sukarelawan,"Jl. Medan Merdeka Barat No.12, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",None
10,b'Komunitas Relawan Emergensi Kesehatan Indonesia (KREKI)',Organisasi Sukarelawan,"Wisma 76, Letjen S. Parman St No.Kav. 76, RT.4/RW.3, Slipi, Palmerah, West Jakarta City, Jakarta 11410",(021) 25678989
11,b'Sekretariat Nasional Jokowi',Organisasi Sukarelawan,"Jl. Cikatomas 1 No.7, RT.5/RW.7, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",None
12,b'IKPP 06',Organisasi Sukarelawan,"PRJJ+XHP, RT.6/RW.5, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",0896-0268-0398
13,b'GDD Nusantara',Organisasi Sukarelawan,"Jl. Pancoran Timur VIII No.6A, RT.8/RW.8, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",None
14,b'Posko Relawan Kohadja',Organisasi Sukarelawan,"Jalan Budi Mulia No 10, RT.06 / RW.10, Pademangan Barat, Pademangan, RT.9, Pademangan Bar., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",0812-8173-7572
15,b'Barat Center GRIYA AGUS SYLVI',Organisasi Sukarelawan,"F Jl. Jend. Basuki Rachmat No.19, RT.2/RW.9, Rw. Bunga, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13350",None
