Nomor,Nama,Label,Alamat,Telephone
1,b'Sekretariat IKAMARU-J',Organisasi Sukarelawan,"Jl. Letjen Suprapto No.58, Telanaipura, Kec. Telanaipura, Kota Jambi, Jambi 36361",None
2,b'Satgas Lingkungan Payo Selincah',Organisasi Sukarelawan,"9JRV+HWQ, Unnamed Road, Payo Selincah, East Jambi, Jambi City, Jambi 36121",None
3,b'Panwaslu Kecamatan Kumpeh',Organisasi Sukarelawan,"JX4P+67M, Tanjung, Kec. Kumpeh, Kabupaten Muaro Jambi, Jambi 36371",0852-6990-0458
4,b'Lorong Luntas ( pangkal duri )',Organisasi Sukarelawan,"2HV9+9W6, Pangkal Duri, Kec. Mendahara, Kabupaten Tanjung Jabung Timur, Jambi 36555",None
5,b'Sekretariat LaskarPelangi Reteh',Organisasi Sukarelawan,"8665+Q39, Jl.Pendidikan, Pulau Kijang, Kec. Reteh, Kabupaten Indragiri Hilir, Riau",0813-7433-7033
6,b'Kantor LSM Naga Terbang',Organisasi Sukarelawan,"W2XP+97P, Mandiangin, Taman Dewa, Sarolangun, Kabupaten Sarolangun, Jambi 37492",0823-7304-1109
7,b'PMI Ranting Rantau Rasau',Organisasi Sukarelawan,"R3GW+WPH, Unnamed Road, Rantau Rasau II, Kec. Rantau Rasau, Kabupaten Tanjung Jabung Timur, Jambi 36772",0812-7402-9078
8,b'MARKAS AISMEV',Organisasi Sukarelawan,"Jalan Lintas Sumatera Km. 1, RT. 08, Sarolangun Kembang, Sarolangun, Sarolangun Kembang, Kec. Sarolangun, Kabupaten Sarolangun, Jambi 37481",0853-5739-8295
9,b'Sekretariat Redkar Provinsi Sumatera Selatan',Organisasi Sukarelawan,"Jl. Jend. Sudirman, Sekip Jaya, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30164",0821-7944-9000
10,b'Sekretariat MPI',Organisasi Sukarelawan,"M5H7+5Q8, Jl. Keritang, Tembilahan Hilir, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29281",0852-7860-8295
11,b'Sekretariat Linggau Kreatif',Organisasi Sukarelawan,"PV5F+GCQ, Jl. Kelabat, Jawa Kiri, Kec. Lubuk Linggau Tim. II, Kota Lubuklinggau, Sumatera Selatan 31613",None
12,b'Relawan Defi Warman',Organisasi Sukarelawan,"Jl. Rajawali, Kp. Melayu, Kec. Sukajadi, Kota Pekanbaru, Riau 28124",0878-9335-3085
13,b'MARKAS HARMONIKA',Organisasi Sukarelawan,"V3PM+8WW, Jl Rasamala, Tua Tunu, Kec. Gerunggang, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33173",None
14,b'Laskar Merah Putih',Organisasi Sukarelawan,"F9XV+5MP, Jl. Lintas Sumatra, Labuh Baru Bar., Kec. Payung Sekaki, Kota Palembang, Riau 28292",None
15,b'Markas Jelajah Bangka',Organisasi Sukarelawan,"Jl. Mustika I No.16, Semabung Lama, Kec. Bukitintan, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684",0823-6789-8686
16,b'Sekretariat Paguyuban SEJATI',Organisasi Sukarelawan,"3X3M+WJQ, Kibing, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29424",None
17,b'Kanal',Organisasi Sukarelawan,"toko elektronik Samsung, Belakang kantor camat lubuk baja. Atau belakang, Jl. Anggrek Luar No.1 B, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444",None
18,b'Basecamp Relawan Nusantara Padang',Organisasi Sukarelawan,"3934+G27, Jl. Pemuda, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat",None
19,b'RIM PALEMBANG',Organisasi Sukarelawan,"Jl. Pasundan Lorong Saudara I No.14, RT.30/RW.07, Kalidoni, Kec. Kalidoni, Kota Palembang, Sumatera Selatan 30119",None
20,b'Roemah Djoeang Komando Pangkalpinang',Organisasi Sukarelawan,"Jl. A. Yani No.6, Masjid Jamik, Kec. Rangkui, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684",None
21,b'KSR PMI unit UNIV TRIDINANTI PALEMBANG',Organisasi Sukarelawan,"Jl. Seroja No.1057, 20 Ilir D. III, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30121",None
22,b'DPP Lumbung Informasi Penyelamat Aset Negara',Organisasi Sukarelawan,"FC68+457, Jl. Lintas Timur Belilas, Pangkalan Kasai, Kec. Seberida, Kabupaten Indragiri Hulu, Riau 29351",None
