Nomor,Nama,Label,Alamat,Telephone
1,b'Posko Relawan PTBC',Organisasi Sukarelawan,"Jl. Taman Kumudasmoro 1 No. K8, Bongsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148",None
2,b'Pasukan Kurang Turu Ketepeng',Organisasi Sukarelawan,"Jl. Tengiri Raya No.48 RT 003/05, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50175",None
3,b'Dr. Wahidin 46',Organisasi Sukarelawan,"XCMH+98J, Kaliwiru, Kec. Candisari, Kota Semarang, Jawa Tengah 50253",None
4,b'base camp resopala',Organisasi Sukarelawan,"Jl. Wonodri Sendang IV No.1048, Wonodri, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50242",None
5,b'PAGAR KAKI LANGIT',Organisasi Sukarelawan,"XCVV+G6H, Jl. Lamper Tengah, Lamper Tengah, Semarang, Kota Semarang, Jawa Tengah 50248",None
6,b'Posko KSR-PMI Unit Unwahas',Organisasi Sukarelawan,"Jl. Menoreh Tengah X No.22, Sampangan, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50232",None
7,b'Tim Resik-Resik Masjid',Organisasi Sukarelawan,"Masjid Al-Istiqomah, Jl. Jati Raya No.1, Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50264",None
8,b'UKM KSR PMI UNISSULA',Organisasi Sukarelawan,"Terboyo Kulon, Kec. Genuk, Kota Semarang, Jawa Tengah 50112",0822-4705-7999
9,b'Posko Pasukan Kurang Turu Ketepeng Semarang',Organisasi Sukarelawan,"Jl. Tengiri Raya No.10, Old Town, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50175",None
10,b'semarang peduli',Organisasi Sukarelawan,"Gabu Raya, Tambangan, Kec. Mijen, Kota Semarang, Jawa Tengah 50215",(024) 70444501
11,b'NEZA GARUDA YAKSA',Organisasi Sukarelawan,"2955+RJR, Purwoyoso, Kec. Ngaliyan, Kota Semarang, Jawa Tengah 50184",0813-9087-0460
12,b'Markas KSR PMI Unit UIN Walisongo',Organisasi Sukarelawan,"284X+XJ6, Tambakaji, Kec. Ngaliyan, Kota Semarang, Jawa Tengah 50185",None
13,"b""RELAWAN SADAR QUR'AN REPUBLIK INDONESIA""",Organisasi Sukarelawan,"Perum Pantura Indah Gang Kenanga No.08, RT.01/RW.10, Sekopek Kulon, Sarirejo, Kec. Kaliwungu, Kabupaten Kendal, Jawa Tengah 51372",0895-3841-12284
14,b'IIWC of PKBI',Organisasi Sukarelawan,"Jl. Jembawan Raya No.8, Kalibanteng Kulon, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50146",(024) 7603503
15,b'Garangan Adventure',Organisasi Sukarelawan,"Jl. Mintojiwo Raya No.17, RW.4, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148",None
16,b'posko BPBD SAYUNG',Organisasi Sukarelawan,"3G54+8QF, Purwosari Tengah, Purwosari, Kec. Sayung, Kabupaten Demak, Jawa Tengah 59563",None
17,b'DULUR GANJAR PRANOWO KOTA SEMARANG',Organisasi Sukarelawan,"Jl. Puri Asri Perdana, Padangsari, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50267",0812-2933-0870
18,b'BC RELINTAS',Organisasi Sukarelawan,"Jl. Ki Penjawi No.104, Sidorejo Lor, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50714",0815-6561-452
19,b'Saka Wanabakti Kota Semarang',Organisasi Sukarelawan,"Jalan Dokter Cipto No.99, Sarirejo, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50124",None
20,b'Cakruk Baca Bergerak',Organisasi Sukarelawan,"Dsn. Demangan RT/RW : 10/04, Demangan, Kadirejo, Kec. Pabelan, Kabupaten Semarang, Jawa Tengah 50771",0823-2251-8667
21,b'Rumah wiyata wiwin',Organisasi Sukarelawan,"M9QF+F7Q, Gertas, Brongkol, Kec. Jambu, Kabupaten Semarang, Jawa Tengah 50663",None
22,b'Sekretariat BPK Oi DEMAK',Organisasi Sukarelawan,"WHWG+FCP, Jl. Kauman Rimbulor, Karangawen, Kec. Karangawen, Kabupaten Demak, Jawa Tengah 59566",0815-7517-6789
23,b'Tower Relawan Mta Cangkringan',Organisasi Sukarelawan,"9CHR+4CW, Unnamed Road, Plaserejo, Umbulharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",0813-9290-9987
24,b'Kantor GBS (Gerakan Bakti Sosial) Yogyakakarta',Organisasi Sukarelawan,"Jl. Onggomertan, No.105, Nayan RT.03, RW.25, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",None
25,b'Maghrib Humanity (MH) 1830 - Sekre',Organisasi Sukarelawan,"Kranggahan I No. 8 , RT.1/RW.1, Kranggahan I, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",0857-2424-2900
26,b'Komunitas Harapan',Organisasi Pelayanan Sosial,"Kauman, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50139",0858-4882-4772
27,b'PMR MTs Ismailiyyah',Organisasi Sukarelawan,"Jl. Raya Nalumsari No.24, Nalum, Nalumsari, Jepara, Kabupaten Jepara, Jawa Tengah 59466",None
28,b'Induk Relawan ASC',Organisasi Sukarelawan,"H3GP+8P9, Prampelan, Adipuro, Kec. Kaliangkrik, Kabupaten Magelang, Jawa Tengah 56153",None
29,b'KOSAPA 77',Organisasi Sukarelawan,"Jl. Kaliwaru No.2-A, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",0877-3883-2845
30,b'Sekretariat Nurul Insan Mandiri',Organisasi Sukarelawan,"M6VH+9X8, Unnamed Road, Bendomoro, Kemloko, Kec. Kranggan, Kabupaten Temanggung, Jawa Tengah 56271",0852-9212-3312
31,b'Lindungi Hutan Kendal',Organisasi Sukarelawan,"Krajan, Bandengan, Kec. Kendal, Kabupaten Kendal, Jawa Tengah",0813-9388-8899
32,b'Markas Relawan GURUH MERAPI Magelang',Organisasi Sukarelawan,"F87X+775, Jl. Babadan, Mangunsoko, Kec. Dukun, Kabupaten Magelang, Jawa Tengah 56482",None
33,b'MAKO SAR RAJAWALI MERAH PUTIH',Organisasi Sukarelawan,"Jl. Satrio Wibowo Sel. No.1D, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57142",0822-2332-6686
34,b'education',Organisasi Sukarelawan,"6CWF+45W, Jl. Paingan, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",None
35,b'Posko Relawan Tunggul Wulung',Organisasi Sukarelawan,"G2XV+655, Jalan Dukuh Seti TPI, Tambak & Sawah, Banyutowo, Dukuhseti, Pati Regency, Central Java 59158",None
36,b'Sekretariat Relawan Destana 005 Pengasih',Organisasi Sukarelawan,"Jl, Projo Martani No.5, Pengasih, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652",None
37,b'Rumah Relawan Ganjarist Prambanan',Organisasi Sukarelawan,"6GV6+CJW, Kongklangan, Kotesan, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",None
38,b'MAKO Induk FPMKI',Organisasi Sukarelawan,"9CQP+4XJ, Gondang, Tangkisan, Umbulharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",None
39,b'ICJ UPDATE',Organisasi Sukarelawan,"Jl. Ngadisuryan, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",0856-4110-0611
40,b'Kantor Pusat KRI',Organisasi Sukarelawan,"FQV7+VW6, Lemah Abang, Dibal, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",None
41,b'SEKRETARIAT BERSAMA RELAWAN BERBAH',Organisasi Sukarelawan,"5CVV+R4J, Berbah, Tegaltirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573",None
42,b'ORGANISASI RELAWAN DAN BUDAYA',Organisasi Sukarelawan,"Jetis, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751",None
43,b'PERDOKHI DIY',Organisasi Sukarelawan,"69HC+558, Senolowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",None
44,b'POSKOR MDMC MIJEN DEMAK',Organisasi Sukarelawan,"6P4G+V6J, Mijen, Kec. Mijen, Kabupaten Demak, Jawa Tengah 59583",None
45,b'Ambulance siaga jawa tengah',Organisasi Sukarelawan,"Namar, RT.07/RW.02, Lemahireng, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50552",0812-1597-5745
46,b'Sekretariat Jaringan Relawan Pengurangan & Penanggulangan Bencana Kabupaten Pati',Organisasi Sukarelawan,"Jl. Merpati No.101, Pati Wetan/Dosoman, Pati Wetan, Kec. Pati, Kabupaten Pati, Jawa Tengah 59115",0852-9067-6940
47,b'DESTANA MINOMARTANI',Organisasi Sukarelawan,"Komplek Kalurahan, Gantalan, Minomartani, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",0877-1976-3400
48,b'Markas Komando Satmenwa Kalimasada',Organisasi Sukarelawan,"UPN ""Veteran"" Yogyakarta, Jalan SWK 104,, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",None
49,b'Mako Relawan Semin',Organisasi Sukarelawan,"Jl. Raya Semin Kemejing No.001, RT.003, Bendung, Kec. Semin, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55854",None
50,b'Bescam kebtana',Organisasi Sukarelawan,"C4HR+JXC, Demangan, Kebonrejo, Kec. Salaman, Kabupaten Magelang, Jawa Tengah 56162",None
51,b'Diska tagana',Organisasi Sukarelawan,"4X2H+CVQ, Jl. Syeh Jangkung 1, RT.02/RW.07, Rw. 6, Kayen, Kec. Kayen, Kabupaten Pati, Jawa Tengah 59171",None
52,b'RELINDO (Indonesian Volunteers for Humanity) PengDa BOYOLALI',Organisasi Sukarelawan,"FM78+85J, Kantil, Teras, Kec. Teras, Kabupaten Boyolali, Jawa Tengah 57372",0812-1212-2927
53,b'KRI BASECAMP JAMPEN',Organisasi Sukarelawan,"FQQV+FCV, jampen, RT.02/RW.06, Karang Pong, Kismoyoso, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",0815-4842-0391
54,b'KRI Kota Surakarta',Organisasi Sukarelawan,"CRQX+2WQ, Jl. Ir. Sutami, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57125",0813-9345-9000
55,b'Sekretariat Karang Taruna Desa Temulus',Organisasi Sukarelawan,"5V4W+WJ2 Balai Desa, Kambangan, Temulus, Kec. Mejobo, Kabupaten Kudus, Jawa Tengah 59381",0857-4007-0201
56,b'PERKUMPULAN GARDA RELAWAN INDONESIA (GARIS)',Organisasi Sukarelawan,"6XRP+WH7, Sempulawang, Pegandan, Kec. Margorejo, Kabupaten Pati, Jawa Tengah 59163",None
57,b'WIDIYANTA GOBUMI',Organisasi Sukarelawan,"FF3P+J9C, Gobumi, Mriyan, Tamansari, Kabupaten Boyolali, Jawa Tengah 57331",None
58,b'BC KPG Regional Kudus',Organisasi Sukarelawan,"5WW2+4HV, Pikon, Tenggeles, Kec. Mejobo, Kabupaten Kudus, Jawa Tengah 59381",None
59,b'Posko Relawan Ganefo',Organisasi Sukarelawan,"M385+V4G, Jelis, Katelan, Kec. Tangen, Kabupaten Sragen, Jawa Tengah 57261",None
60,b'MAKO SAR MAGANA',Organisasi Sukarelawan,"9Q7Q+Q2M, Unnamed Road, Dusun I, Ngrombo, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",None
61,b'Posko Relawan Bencana Jatinom',Organisasi Sukarelawan,"8HWV+VX5, Dusun 1, Jemawan, Kec. Jatinom, Kabupaten Klaten, Jawa Tengah 57481",None
62,b'Sahabat Nurhidayat',Organisasi Sukarelawan,"Jl. Saman, Tanjung, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55187",0859-6412-2256
63,b'DPD ADO DIY',Organisasi Sukarelawan,"68FQ+6PM, guyangan, Jl. Ngapak - Kentheng, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592",None
64,b'Mdmc Jateng Area 12',Organisasi Sukarelawan,"Jl. Garuda Mas No.3-7, Gatak, Pabelan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",None
65,"b""IBNU MAS'UD AS""",Organisasi Sukarelawan,"Bibis 04/10, Padangan, Jungke, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57113",0857-9943-0888
66,b'POSKO BANSER SATKORYON NGAGLIK',Organisasi Sukarelawan,"Jl. Kaliurang No.11, Pedak, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",None
67,b'HOME BASE RELAWAN S.K.A.T',Organisasi Sukarelawan,"Desa Jurangjero, RT. 02 / RW. 02 Karanganom, Dusun I, Jurangjero, Kec. Karanganom, Kabupaten Klaten, Jawa Tengah 57475",0812-8181-7911
68,b'MRI Kota Salatiga',Organisasi Sukarelawan,"Jl. Purbaya III Jl. Karang Alit No.Perum, Dukuh, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50722",0857-4019-7928
69,b'MARKAS KSR UIN RM SAID',Organisasi Sukarelawan,"CPRM+GJ3, Jl. Pandawa 1, Dusun IV, Pucangan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57168",None
70,b'Karbolo Community',Organisasi Sukarelawan,"Unnamed Road, Mancasan, Ambarketawang, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55294",0878-3844-6911
71,b'Panggung Guyub',Organisasi Sukarelawan,"Gg. Yudistira No.15, Glondong, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",None
72,b'MAKO SEKRETARIAT MERAPI COMMUNITY 283 DIY',Organisasi Sukarelawan,"8C34+53C, Jl. Kaliurang, Turen, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",None
73,b'Sekretariat Wongsalam',Organisasi Sukarelawan,"Jl. Citrosancakan No.8, Dusun 1, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274",None
74,b'MAKO RESJU',Organisasi Sukarelawan,"8XWR+Q9F, Ngadirejo, Ngunut, Kec. Jumantono, Kabupaten Karanganyar, Jawa Tengah 57782",None
75,b'Mako Relawan Karang',Organisasi Sukarelawan,"9473+VQ9, Karang Kulon, Karang, Kec. Karangpandan, Kabupaten Karanganyar, Jawa Tengah 57791",None
76,b'POSKO BAMAS',Organisasi Sukarelawan,"9R8X+VG4, Jl. Ngleses, Samin, Pandeyan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",0822-2523-9189
77,b'Posko tim kamboja',Organisasi Sukarelawan,"8GMF+C9R, Dusun 1, Keputran, Kec. Kemalang, Kabupaten Klaten, Jawa Tengah 57484",None
78,b'Adisurya Comunication',Organisasi Sukarelawan,"H3GP+9R7, Prampelan, Adipuro, Kec. Kaliangkrik, Kabupaten Magelang, Jawa Tengah 56153",0878-3825-5452
79,b'Pos 3 CODE X Relawan Jogja',Organisasi Sukarelawan,"59Q6+R3X, Jl. Komp. Taman Sari, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",0813-3787-5756
80,b'SUKMADESI SAWIT',Organisasi Sukarelawan,"CMCH+Q37, Unnamed Road, Dusun 2, Gombang, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374",None
81,b'mako RELAWAN GERDU',Organisasi Sukarelawan,"938W+WJM, Popongan, Gerdu, Kec. Karangpandan, Kabupaten Karanganyar, Jawa Tengah",None
82,b'Edi Nugroho',Organisasi Sukarelawan,"274G+8MG, Tegalsari, RT.068, Srigading, Kec. Sanden, Kabupaten Bantul, Daerah Istimewa Yogyakarta",0813-9041-7771
83,b'MAKO TIRTO RESCUE BERBAH',Organisasi Sukarelawan,"Blendangan, Tegaltirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573",None
84,b'Korps Sukarela KSR Unit PMI Banjarnegara',Organisasi Sukarelawan,"Kantor PMI Banjarnegara, Jl. Letjend Suprapto No.74, Wangon, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53417",None
85,b'JBS ( Joglo Samira Berkah )',Organisasi Sukarelawan,"Kebakan, Sapen, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",0877-7462-7557
86,b'BASECAMP KOPASTA',Organisasi Sukarelawan,"8J3F+JQR, Macanan, Karanganom, Kec. Klaten Utara, Kabupaten Klaten, Jawa Tengah",0812-1502-5851
87,b'Sekretariat KPA Rajawali',Organisasi Sukarelawan,"Dusun I, Tarubatang, Kec. Selo, Kabupaten Boyolali, Jawa Tengah 57363",0878-3841-7950
88,b'POSKO KATANA KRAJAN',Organisasi Sukarelawan,"Dusun 2, Krajan, Kec. Jatinom, Kabupaten Klaten, Jawa Tengah 57481",0838-7202-1315
89,b'Mako Relawan Restu Ibu Klaten',Organisasi Sukarelawan,"6GVP+QWQ, Platar, Wirosari, Somopuro, Kec. Jogonalan, Kabupaten Klaten, Jawa Tengah 57452",None
90,b'KOMUNITAS BANYU BENING',Organisasi Sukarelawan,"Karang, RT.02/RW.29, Karang, Sumberagung, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563",None
91,b'Posko Relawan Kecamatan Ngawen (RKN)',Organisasi Sukarelawan,"Jl. Klaten - Jatinom No.Km. 4, Dusun 2, Ngerangan, Kec. Ngawen, Kabupaten Klaten, Jawa Tengah 57466",None
92,b'Basecamp satgas semut ireng',Organisasi Sukarelawan,"7WXF+8JW, Jl. Raya Jurang, Tergo, Kec. Dawe, Kabupaten Kudus, Jawa Tengah 59353",None
93,b'Posko Banu - B4NU',Organisasi Sukarelawan,"Jl. Cangkringan No.01, Pakemtegal, Pakembinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",None
94,b'Basecamp ICK Korwil Delanggu Raya',Organisasi Sukarelawan,"9MQX+C83, Jalan Lingkar, Gentan, Kepanjen, Delanggu, Klaten Regency, Central Java 57471",None
95,b'POS 1 READ KARANGANYAR',Organisasi Sukarelawan,"Jl. Raya Solo-Tawangmangu No.126, Perum Uns, Sapen, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57554",None
96,b'Posko SAR DIY Kuncen',Organisasi Sukarelawan,"Jl. Pakuncen RW No.36 RT 02, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",0856-2745-525
97,b'POS KSM GLAGAHARJO',Organisasi Sukarelawan,"Unnamed Road, Dengis, Glagaharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",None
98,b'VIKING BATANG',Organisasi Sukarelawan,"Gg. Materos, RT.02/RW.R 02, Kalipucang Wetan, Kec. Batang, Kabupaten Batang, Jawa Tengah 21516",None
99,b'Posko Mapala KAPAKATA INSTIPER',Organisasi Sukarelawan,"6CQG+997, Jl. Nangka II, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",None
100,b'Perpustakaan Rifka Annisa',Organisasi Sukarelawan,"Jl. Jambon IV, Komplek Jatimulyo Indah, Yogyakarta, Indonesia, Kricak, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55242",None
101,b'Posko relawan gemawang',Organisasi Sukarelawan,"Jl. Karanganyar-Karangpandan No.27, Bendungan, Bangsri, Kec. Karangpandan, Kabupaten Karanganyar, Jawa Tengah 57791",0813-2711-6557
102,b'Rumah Banyu Bening',Organisasi Sukarelawan,"Gantiwarno, Kampung, Kec. Ngawen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55853",None
103,b'Homebase Teras Kecil',Organisasi Sukarelawan,"Jl. Jend. A. Yani No.18, Karang Kulon, Papahan, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 57722",None
104,b'Mabes FOR\xe2\x80\x99UP',Organisasi Sukarelawan,"Jl. Jend. Sudirman Tim. No.73, Wanarejan Selatan, Wanarejan Sel., Kec. Taman, Kabupaten Pemalang, Jawa Tengah 52361",None
105,b'YPAC Nasional',Organisasi Sukarelawan,"Jl. LU. Adisucipto KM 7, Colomadu, Paulan Kulon, Paulan, Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57176",(0271) 780075
106,b'Shelter URC Klaten 2',Organisasi Sukarelawan,"Janidan, Ngadirejo, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57163",0813-3660-0398
107,b'SEKRETARIAT RAGAMA',Organisasi Sukarelawan,"Jl. Ovensari Raya, Kembang, Duwet, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",0812-2971-753
108,b'Basecamp Water Rescue Guruh Merapi',Organisasi Sukarelawan,"F65P+VCV, Gedongan, Blondo, Kec. Mungkid, Kabupaten Magelang, Jawa Tengah 56512",0896-3652-7649
109,b'Indonesian Reformator Leaders',Organisasi Sukarelawan,"Brajan, Kasihan, perbatasan Yogya - Bantul, dekat UMY, Brajan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",None
110,b'Posko Relawan RPM',Organisasi Sukarelawan,"Jl. Karangpandan-Ngargoyoso, Sidi, Nglegok, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",0813-9267-3458
111,b'Taman Cerdas Lentera Merapi',Organisasi Sukarelawan,"8FP6+8H2, Suruh, Argomulyo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",None
112,b'SAPALA IKIP PGRI WATES',Organisasi Sukarelawan,"45VG+82M, Gn. Gondang, Margosari, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652",0823-6601-8399
113,b'Padepokan Romo Yosep Suyatno',Organisasi Sukarelawan,"89VW+X6X, Jl. Jogja - Turi, Jambalangan, Purwobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",None
114,b'Mako mdmc klaten - sar muhammadiyah',Organisasi Sukarelawan,"7JV6+7Q3, Unnamed Road, Srogo, Mojayan, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57438",None
115,b'Borsak Mangatasi Nababan',Organisasi Sukarelawan,"5FX7+WCJ, Jragung, Jogotirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573",0813-9394-4244
116,b'Wani Perih ERT',Organisasi Sukarelawan,"Jl. Ngawen No.2011, Kp. Kidul, Kampung, Kec. Ngawen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55853",None
117,b'Posko Merapi Padepokan Yoseph Suyatno',Organisasi Sukarelawan,"9CM6+9GP, Kemiri, Purwobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",0896-3966-0797
118,b'MAKO TAGANA KARANGANYAR',Organisasi Sukarelawan,"CW4H+WF7, Manggung, Cangakan, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57716",None
119,b'MAKOE EMERGENCY SKB',Organisasi Sukarelawan,"7GRH+F5, Mampiran, Joton, Kec. Jogonalan, Kabupaten Klaten, Jawa Tengah",0857-9917-8000
120,b'sekretariat fastabiqul khairat squad',Organisasi Sukarelawan,"Jl letkol sosro sudiro No.3, RT.02/RW.08, Dusun V, Pliken, Kec. Kembaran, Kabupaten Banyumas, Jawa Tengah 53181",None
