Nomor,Nama,Label,Alamat,Telephone
1,b'ICJ UPDATE',Organisasi Sukarelawan,"Jl. Ngadisuryan, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",0856-4110-0611
2,b'PERDOKHI DIY',Organisasi Sukarelawan,"69HC+558, Senolowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",None
3,b'Sekretariat UKM Peduli Difabel UGM',Organisasi Sukarelawan,"Jl. Bhinneka Tunggal Ika No. N58, Senolowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",None
4,b'Kantor GBS (Gerakan Bakti Sosial) Yogyakakarta',Organisasi Sukarelawan,"Jl. Onggomertan, No.105, Nayan RT.03, RW.25, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",None
5,b'Maghrib Humanity (MH) 1830 - Sekre',Organisasi Sukarelawan,"Kranggahan I No. 8 , RT.1/RW.1, Kranggahan I, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",0857-2424-2900
6,b'Pos 3 CODE X Relawan Jogja',Organisasi Sukarelawan,"59Q6+R3X, Jl. Komp. Taman Sari, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",0813-3787-5756
7,b'NSDA (NATIONAL SECURITY & DISASTER AGENCY)',Organisasi Sukarelawan,"Sidomulyo, Jl. Celeban No.629D, Tahunan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55167",0878-7774-8851
8,b'KOSAPA 77',Organisasi Sukarelawan,"Jl. Kaliwaru No.2-A, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",0877-3883-2845
9,b'Posko FOREKA (Forum Relawan Kaliputih)',Organisasi Sukarelawan,"Jl. Bantul No.313, Sebapang, Pendowoharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55185",None
10,b'Posko SAR DIY Kuncen',Organisasi Sukarelawan,"Jl. Pakuncen RW No.36 RT 02, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",0856-2745-525
