nomor,nama,keahlian 1,keahlian 2,lokasi
"1,Karbon Biru,Lingkungan,Pengembangan Masyarakat,""Kota Surabaya, Jawa Timur"""
"2,Rumah Sandar,Pendidikan,Pengembangan Anak Muda,""Kota Depok, Jawa Barat"""
"3,Yayasan PERSEPSI,Pengembangan Masyarakat,Lingkungan,""Kabupaten Klaten, Jawa Tengah"""
"4,Atma Jaya Consultinh Community,Kepemimpinan & Organisasi,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"5,BAZNAS Kota Bandung,Pengembangan Masyarakat,Kesehatan,""Kota Bandung, Jawa Barat"""
"6,Berlin Grand Talent,Pendidikan,Pusat Informasi dan Kajian,""Kabupaten Cirebon, Jawa Barat"""
"7,Asosiasi Manajemen Indonesia (AMA Indonesia),Pengembangan Masyarakat,Kepemimpinan & Organisasi,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"8,Get Plastic Indonesia,Lingkungan,Pengembangan Masyarakat,""Kabupaten Badung, Bali"""
"9,Magnivision Network,Pengembangan Anak Muda,Sains dan Teknologi,""Kabupaten Pangkajene Kepulauan, Sulawesi Selatan"""
"10,YAYASAN JEJAK KAKI PEDULI NEGERI,Pengembangan Masyarakat,Pendidikan,""Kota Pekanbaru, Riau"""
"11,FORSUMA forum suara mahasiswa pemulutan,Kepemimpinan & Organisasi,Pengembangan Masyarakat,""Kabupaten Ogan Ilir, Sumatera Selatan"""
"12,Rumah Belajar Rawamangun,Pendidikan,Kepemimpinan & Organisasi,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"13,Komunitas Bisnis UKM Berbagi,Pengembangan Masyarakat,Pendidikan,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"14,Hacklab Rocks,Ketenagakerjaan,Kepemimpinan & Organisasi,""Kota Yogyakarta, Yogyakarta"""
"15,Kelompok Konservasi Teripang Touna (KKTT),Lingkungan,Pengembangan Masyarakat,""Kabupaten Tojo Una Una, Sulawesi Tengah"""
"16,AKAN ID,Pengembangan Masyarakat,Pengembangan Anak Muda,""Kota Depok, Jawa Barat"""
"17,Primary Organization,Pendidikan,Pengembangan Anak Muda,""Kota Depok, Jawa Barat"""
"18,RECYW4STE,Lingkungan,Kesehatan,""Kota Tangerang Selatan, Banten"""
"19,Komunitas Pelajar Penggiat Ham Sumatera Selatan,Hak Asasi Manusia,Kepemimpinan & Organisasi,""Kota Palembang, Sumatera Selatan"""
"20,Peduli Dhuafa,Pendidikan,Pengembangan Masyarakat,""Kota Lhokseumawe, Aceh"""
"21,Relawan Tebing Tinggi,Kesehatan,Hak Asasi Manusia,""Kota Tebing Tinggi, Sumatera Utara"""
"22,Omah Gembira,Difabilitas/Disabilitas,Pengembangan Masyarakat,""Kabupaten Malang, Jawa Timur"""
"23,Cerita Guru Belajar,Pendidikan,Pendidikan,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"24,TANGGA KUNING,Kepemimpinan & Organisasi,Lingkungan,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"25,Singojayan Peduli Literasi,Pendidikan,Perdamaian dan Toleransi,""Kota Salatiga, Jawa Tengah"""
"26,Yayasan Pondok Nurani Kemanusiaan,Hak Asasi Manusia,Kesehatan,""Kabupaten Cianjur, Jawa Barat"""
"27,Panti asuhan cahaya hati anugerah indonesia,Pendidikan,Pengembangan Masyarakat,""Kota Medan, Sumatera Utara"""
"28,Relawan Ruang Peduli,Penanggulangan Bencana,Pengembangan Masyarakat,""Kabupaten Sukabumi, Jawa Barat"""
"29,AIESEC in Universitas Hasanuddin,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kota Makassar, Sulawesi Selatan"""
"30,Karang Taruna Desa Sukarame,Pengembangan Anak Muda,Pengembangan Masyarakat,""Kabupaten Pandeglang, Banten"""
"31,Rizky Youth Talent Indonesia Forum Community,Kepemimpinan & Organisasi,Pengembangan Anak Muda,""Kabupaten Sidoarjo, Jawa Timur"""
"32,RUMAH ASAM KUMBANG,Kesehatan,Hak Asasi Manusia,""Kota Medan, Sumatera Utara"""
"33,Jelajah Sungai,Lingkungan,Pengembangan Anak Muda,""Kota Depok, Jawa Barat"""
"34,Treehome Medan,Lingkungan,Pengembangan Anak Muda,""Kota Medan, Sumatera Utara"""
"35,YAYASAN PERLINDUNGAN LINGKUNGAN HIDUP DAN PELESTARIAN ALAM INDONESIA,Lingkungan,Pengembangan Masyarakat,""Kota Medan, Sumatera Utara"""
"36,YAYASAN KITA PEDULI BANJARNEGARA,Kesehatan,Hak Asasi Manusia,""Kabupaten Banjarnegara, Jawa Tengah"""
"37,Creavill Bandung,Pengembangan Masyarakat,Pendidikan,""Kota Bandung, Jawa Barat"""
"38,PT Sompo Insurance Indonesia,Pengembangan Anak Muda,Ketenagakerjaan,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"39,Climate Rangers Jakarta,Lingkungan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"40,Lazisnu Denpasar Timur,Hak Asasi Manusia,Pendidikan,""Kota Denpasar, Bali"""
"41,Seangle Indonesia,Lingkungan,Pengembangan Anak Muda,""Kota Palu, Sulawesi Tengah"""
"42,Nolong Event Organizer,Ketenagakerjaan,Olahraga,""Kota Tangerang Selatan, Banten"""
"43,Kesmas UIMA,Kesehatan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"44,Sobat Diabetes Indonesia,Kesehatan,Kesehatan,""Kota Surakarta, Jawa Tengah"""
"45,Genta.id,Kesejahteraan Hewan,Lingkungan,""Kota Denpasar, Bali"""
"46,Mata Angin,Pengembangan Anak Muda,Pendidikan,""Kota Tangerang, Banten"""
"47,Dinar Education,Pendidikan,Hak Asasi Manusia,""Kota Depok, Jawa Barat"""
"48,Komunitas Literasi KATAKANA,Pendidikan,Seni dan Budaya,""Kabupaten Garut, Jawa Barat"""
"49,STIE YAPTI,Ketenagakerjaan,Kesetaraan Gender,""Kabupaten Jeneponto, Sulawesi Selatan"""
"50,Petualang Cilik,Pendidikan,Lingkungan,""Kota Bekasi, Jawa Barat"""
"51,Postympact Organization,Pengembangan Anak Muda,Pendidikan,""Kabupaten Bojonegoro, Jawa Timur"""
"52,Bakrie Center Foundation,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"53,THE NUSANTARA MEMBANGUN (THE NUN),Pendidikan,Lingkungan,""Kabupaten Lombok Tengah, Nusa Tenggara Barat"""
"54,Zipmex Troops,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"55,Mantra,Lingkungan,Kesehatan,""Kota Tomohon, Sulawesi Utara"""
"56,Belajar Seutuhnya,Pendidikan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"57,Wise Steps Foundation,Pengembangan Anak Muda,Pendidikan,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"58,YOT MAKASSAR,Pengembangan Anak Muda,Kepemimpinan & Organisasi,""Kota Makassar, Sulawesi Selatan"""
"59,Asosiasi Pokdarwis Pandeglang,Pengembangan Masyarakat,Lingkungan,""Kabupaten Pandeglang, Banten"""
"60,Alinasi Batak Nusantara,Kepemimpinan & Organisasi,Kesetaraan Gender,""Kota Medan, Sumatera Utara"""
"61,Relawan TIK Palopo,Sains dan Teknologi,Pendidikan,""Kota Palopo, Sulawesi Selatan"""
"62,Rakit Rasa Indonesia,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"63,SUMECO,Lingkungan,Kesejahteraan Hewan,""Kabupaten Langkat, Sumatera Utara"""
"64,Teman Millenials,Pendidikan,Pengembangan Masyarakat,""Kabupaten Bandung Barat, Jawa Barat"""
"65,Kejar Kebaikan,Pendidikan,Pengembangan Masyarakat,""Kota Bekasi, Jawa Barat"""
"66,Lazuardi Indonesia,Kepemimpinan & Organisasi,Hak Asasi Manusia,""Kabupaten Bekasi, Jawa Barat"""
"67,Duta Baca Kabupaten Indramayu,Pendidikan,Lingkungan,""Kabupaten Indramayu, Jawa Barat"""
"68,Forum Indonesia Muda Tangerang Raya,Kepemimpinan & Organisasi,Pengembangan Anak Muda,""Kota Tangerang Selatan, Banten"""
"69,Yayasan Assofa Pusat Pendidikan,Pendidikan,Olahraga,""Kabupaten Bogor, Jawa Barat"""
"70,Lingkar Muda,Pendidikan,Pengembangan Anak Muda,""Kabupaten Gresik, Jawa Timur"""
"71,Puan Bisa,Kesetaraan Gender,Pengembangan Anak Muda,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"72,Persatuan Pemuda Alila,Hak Asasi Manusia,Kepemimpinan & Organisasi,""Kota Batam, Kepulauan Riau"""
"73,kluarga.id,Kesetaraan Gender,Pengembangan Anak Muda,""Kota Administrasi Jakarta Barat, DKI Jakarta"""
"74,relawan creativ,Penanggulangan Bencana,Seni dan Budaya,""Kota Malang, Jawa Timur"""
